"data","host","nuovi_casi","casi_totali"
2021-10-27,"equidi",0,4
2021-10-27,"uccelli bersaglio",1,29
2021-10-27,"uccelli selvatici",2,23
2021-10-27,"zanzare",0,74
2021-11-03,"uomini",1,55
2021-11-03,"equidi",0,4
2021-11-03,"uccelli bersaglio",20,49
2021-11-03,"uccelli selvatici",20,43
2021-11-03,"zanzare",5,79
2021-11-10,"uomini",0,55
2021-11-10,"equidi",0,4
2021-11-10,"uccelli bersaglio",2,51
2021-11-10,"uccelli selvatici",0,43
2021-11-10,"zanzare",0,79
2021-11-17,"uomini",0,55
2021-11-17,"equidi",2,6
2021-11-17,"uccelli bersaglio",0,51
2021-11-17,"uccelli selvatici",4,47
2021-11-17,"zanzare",0,79
2021-11-24,"uomini",0,55
2021-11-24,"equidi",0,6
2021-11-24,"uccelli bersaglio",0,51
2021-11-24,"uccelli selvatici",1,48
2021-11-24,"zanzare",0,79
2022-06-21,"uomini",0,0
2022-06-21,"equidi",0,0
2022-06-21,"uccelli bersaglio",0,0
2022-06-21,"uccelli selvatici",0,0
2022-06-21,"zanzare",1,1
2022-06-28,"uomini",0,0
2022-06-28,"equidi",0,0
2022-06-28,"uccelli bersaglio",0,0
2022-06-28,"uccelli selvatici",0,0
2022-06-28,"zanzare",0,1
2022-07-05,"uomini",0,0
2022-07-05,"equidi",0,0
2022-07-05,"uccelli bersaglio",1,1
2022-07-05,"uccelli selvatici",0,0
2022-07-05,"zanzare",1,2
2022-07-12,"uomini",1,1
2022-07-12,"equidi",0,0
2022-07-12,"uccelli bersaglio",0,1
2022-07-12,"uccelli selvatici",2,2
2022-07-12,"zanzare",8,10
2022-07-19,"uomini",14,15
2022-07-19,"equidi",0,0
2022-07-19,"uccelli bersaglio",3,4
2022-07-19,"uccelli selvatici",0,2
2022-07-19,"zanzare",21,31
2022-07-26,"uomini",27,42
2022-07-26,"equidi",0,0
2022-07-26,"uccelli bersaglio",2,6
2022-07-26,"uccelli selvatici",4,6
2022-07-26,"zanzare",17,48
2022-08-02,"uomini",52,94
2022-08-02,"equidi",4,4
2022-08-02,"uccelli bersaglio",9,15
2022-08-02,"uccelli selvatici",4,10
2022-08-02,"zanzare",52,100
2022-08-09,"uomini",50,144
2022-08-09,"equidi",2,6
2022-08-09,"uccelli bersaglio",5,20
2022-08-09,"uccelli selvatici",11,21
2022-08-09,"zanzare",21,121
