"year_week","start_date","end_date","region_name","region_code","lat","long","number_healthcare_workers","number_cases","population","incidence","cases_0-4","inc_0-4","cases_5-14","inc_5-14","cases_15-64","inc_15-64","cases_65+","inc_65+"
"2012-04",2012-01-23,2012-01-29,"Piedmont",1,45.0732745,7.680687483,41,541,53514,"10.11",76,"27.53",124,"22.03",290,"8.81",51,"4.17"
"2012-04",2012-01-23,2012-01-29,"Aosta Valley",2,45.73750286,7.320149366,7,58,8564,"6.77",16,"14.65",18,"12.89",20,"4.59",4,"2.32"
"2012-04",2012-01-23,2012-01-29,"Lombardy",3,45.46679409,9.190347404,144,1702,201626,"8.44",421,"25.83",491,"16.95",696,"6.05",94,"2.27"
"2012-04",2012-01-23,2012-01-29,"AP Bolzano",21,46.49933453,11.35662422,7,69,12129,"5.69",17,"28.19",15,"6.85",35,"4.84",2,"0.95"
"2012-04",2012-01-23,2012-01-29,"AP Trento",22,46.06893511,11.12123097,14,252,18382,"13.71",96,"67.18",75,"20.84",73,"7.21",8,"2.48"
"2012-04",2012-01-23,2012-01-29,"Veneto",5,45.43490485,12.33845213,77,921,100504,"9.16",264,"37.84",233,"17.52",376,"6.42",48,"2.21"
"2012-04",2012-01-23,2012-01-29,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,19,64,25222,"2.54",16,"7.92",21,"5.78",24,"1.73",3,"0.53"
"2012-04",2012-01-23,2012-01-29,"Liguria",7,44.41149315,8.9326992,36,264,42053,"6.28",60,"23.71",86,"19.1",108,"4.48",10,"0.92"
"2012-04",2012-01-23,2012-01-29,"Emilia Romagna",8,44.49436681,11.3417208,79,1136,104693,"10.85",337,"48.81",258,"19.45",456,"7.44",85,"3.66"
"2012-04",2012-01-23,2012-01-29,"Tuscany",9,43.76923077,11.25588885,48,408,60803,"6.71",69,"26.43",101,"16.52",200,"5.37",38,"2.56"
"2012-04",2012-01-23,2012-01-29,"Umbria",10,43.10675841,12.38824698,12,69,14718,"4.69",13,"10.41",32,"12.67",22,"2.82",2,"0.64"
"2012-04",2012-01-23,2012-01-29,"Marche",11,43.61675973,13.5188753,21,414,23383,"17.71",136,"41",162,"24.62",103,"10.28",13,"3.75"
"2012-04",2012-01-23,2012-01-29,"Lazio",12,41.89277044,12.48366722,70,1031,87789,"11.74",252,"39.77",273,"23.73",457,"8.63",49,"2.88"
"2012-04",2012-01-23,2012-01-29,"Abruzzo",13,42.35122196,13.39843823,20,221,19413,"11.38",59,"24.09",94,"22.84",44,"4.61",24,"7.24"
"2012-04",2012-01-23,2012-01-29,"Molise",14,41.55774754,14.5916051,13,215,15262,"14.09",77,"53.32",67,"22.1",53,"7.21",18,"5.24"
"2012-04",2012-01-23,2012-01-29,"Campania",15,40.83956555,14.25084984,70,1059,86487,"12.24",281,"33.67",319,"18.47",401,"8.37",58,"4.48"
