"data_bulletin","region_name","region_code","lat","long","cases","cumulative"
2022-07-29,"PA Bolzano",21,46.49933453,11.35662422,0,1
2022-07-29,"PA Trento",22,46.06893511,11.12123097,0,3
2022-07-29,"Umbria",10,43.10675841,12.38824698,0,0
2022-07-29,"Valle d'Aosta",2,45.73750286,7.320149366,0,0
2022-07-29,"Veneto",5,45.43490485,12.33845213,2,33
2022-08-02,"Basilicata",17,40.63947052,15.80514834,0,0
2022-08-02,"Calabria",18,38.90597598,16.59440194,0,0
2022-08-02,"Campania",15,40.83956555,14.25084984,1,7
2022-08-02,"Emilia-Romagna",8,44.49436681,11.3417208,2,57
2022-08-02,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,0,9
2022-08-02,"Lazio",12,41.89277044,12.48366722,3,104
2022-08-02,"Liguria",7,44.41149315,8.9326992,1,9
2022-08-02,"Lombardia",3,45.46679409,9.190347404,16,232
2022-08-02,"Marche",11,43.61675973,13.5188753,0,2
2022-08-02,"Molise",14,41.55774754,14.65916051,0,0
2022-08-02,"Piemonte",1,45.0732745,7.680687483,0,18
2022-08-02,"Puglia",16,41.12559576,16.86736689,1,9
2022-08-02,"Sardegna",20,39.21531192,9.110616306,1,1
2022-08-02,"Sicilia",19,38.11569725,13.3623567,0,2
2022-08-02,"Toscana",9,43.76923077,11.25588885,1,17
2022-08-02,"PA Bolzano",21,46.49933453,11.35662422,0,1
2022-08-02,"PA Trento",22,46.06893511,11.12123097,0,3
2022-08-02,"Umbria",10,43.10675841,12.38824698,0,0
2022-08-02,"Valle d'Aosta",2,45.73750286,7.320149366,0,0
2022-08-02,"Veneto",5,45.43490485,12.33845213,0,33
2022-08-05,"Abruzzo",13,42.35122196,13.39843823,1,1
2022-08-05,"Basilicata",17,40.63947052,15.80514834,0,0
2022-08-05,"Calabria",18,38.90597598,16.59440194,0,0
2022-08-05,"Campania",15,40.83956555,14.25084984,0,7
2022-08-05,"Emilia-Romagna",8,44.49436681,11.3417208,5,62
2022-08-05,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,1,10
2022-08-05,"Lazio",12,41.89277044,12.48366722,5,109
2022-08-05,"Liguria",7,44.41149315,8.9326992,0,9
2022-08-05,"Lombardia",3,45.46679409,9.190347404,18,250
2022-08-05,"Marche",11,43.61675973,13.5188753,0,2
2022-08-05,"Molise",14,41.55774754,14.65916051,0,0
2022-08-05,"Piemonte",1,45.0732745,7.680687483,3,21
2022-08-05,"Puglia",16,41.12559576,16.86736689,0,9
2022-08-05,"Sardegna",20,39.21531192,9.110616306,0,1
2022-08-05,"Sicilia",19,38.11569725,13.3623567,0,2
2022-08-05,"Toscana",9,43.76923077,11.25588885,4,21
